Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","2.2nF","C_0603_1608Metric",107.950000,-54.610000,90.000000,top
"C2","18pF","C_0603_1608Metric",108.204000,-78.232000,90.000000,top
"C3","1nF","C_0603_1608Metric",117.348000,-79.502000,90.000000,top
"C4","2.2nF","C_0603_1608Metric",117.094000,-55.880000,90.000000,top
"C5","180pF","C_0603_1608Metric",106.934000,-90.678000,90.000000,top
"C6","1nF","C_0603_1608Metric",116.078000,-91.694000,90.000000,top
"C7","0.1uF","C_0603_1608Metric",118.110000,-77.216000,0.000000,top
"C8","0.1uF","C_0603_1608Metric",117.856000,-53.594000,0.000000,top
"C9","0.1uF","C_0603_1608Metric",110.744000,-59.182000,0.000000,top
"C10","0.1uF","C_0603_1608Metric",110.998000,-83.058000,0.000000,top
"C11","0.1uF","C_0603_1608Metric",116.840000,-89.408000,0.000000,top
"C12","0.1uF","C_0603_1608Metric",109.728000,-95.504000,0.000000,top
"C14","0.1uF","C_0603_1608Metric",117.348000,-65.913000,0.000000,top
"D1","BAT54SW","SOT-323_SC-70",153.670000,-80.010000,270.000000,top
"Q1","LBSS84LT1G","SOT-23",140.462000,-39.116000,90.000000,top
"Q2","2N7002","SOT-23",144.780000,-39.116000,90.000000,top
"R1","18k","R_0603_1608Metric",107.950000,-57.658000,270.000000,top
"R2","3k3","R_0603_1608Metric",106.426000,-54.610000,270.000000,top
"R3","36k","R_0603_1608Metric",106.680000,-81.280000,90.000000,top
"R4","330k","R_0603_1608Metric",106.680000,-78.232000,270.000000,top
"R5","20k","R_0603_1608Metric",113.538000,-60.706000,270.000000,top
"R6","20k","R_0603_1608Metric",118.872000,-79.502000,270.000000,top
"R7","100k","R_0603_1608Metric",105.156000,-78.232000,90.000000,top
"R8","10k","R_0603_1608Metric",111.760000,-75.946000,180.000000,top
"R9","100","R_0603_1608Metric",120.396000,-82.804000,90.000000,top
"R10","22k","R_0603_1608Metric",108.204000,-81.280000,270.000000,top
"R11","3k3","R_0603_1608Metric",118.618000,-55.880000,270.000000,top
"R12","20k","R_0603_1608Metric",118.618000,-62.230000,270.000000,top
"R13","13k","R_0603_1608Metric",106.426000,-57.658000,90.000000,top
"R14","0R","R_0805_2012Metric",144.018000,-52.578000,180.000000,top
"R15","36k","R_0603_1608Metric",106.934000,-93.726000,90.000000,top
"R16","33k","R_0603_1608Metric",105.410000,-90.678000,270.000000,top
"R17","20k","R_0603_1608Metric",117.602000,-91.694000,270.000000,top
"R18","10k","R_0603_1608Metric",103.886000,-90.678000,90.000000,top
"R19","10k","R_0603_1608Metric",110.490000,-88.392000,180.000000,top
"R20","100","R_0603_1608Metric",116.586000,-96.774000,180.000000,top
"R21","22k","R_0603_1608Metric",105.410000,-93.726000,270.000000,top
"R22","1k","R_0603_1608Metric",151.384000,-83.312000,180.000000,top
"R23","1k","R_0603_1608Metric",129.794000,-83.566000,90.000000,top
"U1","TL072","SOIC-8_3.9x4.9mm_P1.27mm",112.522000,-55.626000,0.000000,top
"U2","TL072","SOIC-8_3.9x4.9mm_P1.27mm",112.776000,-79.502000,0.000000,top
"U3","TL072","SOIC-8_3.9x4.9mm_P1.27mm",111.506000,-91.948000,0.000000,top
"U4","74LVC1T45W6","SOT-23-6",149.606000,-80.264000,0.000000,top
"U5","TL072","SOIC-8_3.9x4.9mm_P1.27mm",113.792000,-69.596000,0.000000,top
